hap	HSat2_chromosomes	HSat3_chromosomes
HG02148_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr20
HG02148_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02155_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02155_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02165_hap1	chr7,chr9,chr10,chr16,chr17	chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02165_hap2	chr7,chr9,chr10,chr16,chr17	chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02178_hap1	chr2,chr10,chr16,chr17	chr2,chr4,chr5,chr10,chr16,chr17,chr20
HG02178_hap2	chr1,chr2,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr10,chr16,chr17,chr20
HG02257_hap1	chr2,chr7,chr9,chr10,chr17	chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02257_hap2	chr2,chr7,chr9,chr10,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02258_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02258_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02273_hap1	chr1,chr9,chr10,chr16,chr17	chr1,chr3,chr5,chr9,chr10,chr16,chr17,chr20
HG02273_hap2	chr1,chr10,chr16,chr17	chr1,chr3,chr5,chr10,chr16,chr17,chr20
HG02280_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02282_hap1	chr2,chr9,chr10,chr16	chr2,chr4,chr5,chr9,chr10,chr16,chr20
HG02282_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02293_hap1	chr2,chr7,chr9,chr10	chr2,chr3,chr5,chr7,chr9,chr10,chr20
HG02293_hap2	chr2,chr9,chr10	chr2,chr3,chr5,chr9,chr10,chr20
HG02300_hap1	chr2,chr9,chr10,chr16	chr2,chr5,chr9,chr10,chr16,chr20
HG02300_hap2	chr2,chr9,chr10,chr16	chr2,chr5,chr9,chr10,chr16,chr20
HG02391_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02391_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02392_hap1	chr1,chr2,chr10,chr16	chr1,chr2,chr4,chr5,chr10,chr16,chr20
HG02392_hap2	chr1,chr2,chr10,chr16	chr1,chr2,chr4,chr5,chr10,chr16,chr20
HG02451_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17
HG02451_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02486_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02486_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02492_hap1	chr1,chr7,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr10,chr16,chr20
HG02492_hap2	chr7,chr9,chr10,chr16,chr17	chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17
HG02514_hap1	chr1,chr2,chr7,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr20
HG02514_hap2	chr1,chr2,chr7,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr20
HG02523_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02523_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02554_hap1	chr7,chr9,chr10,chr16,chr17	chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02554_hap2	chr1,chr9,chr10,chr16,chr17	chr1,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG02559_hap1	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02559_hap2	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02572_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02572_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02583_hap1	chr2,chr7,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02583_hap2	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02587_hap1	chr2,chr7,chr9,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr16,chr17,chr20
HG02587_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02602_hap1	chr2,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG02602_hap2	chr9,chr10,chr16	chr3,chr4,chr5,chr9,chr10,chr16,chr20
HG02615_hap1	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02615_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02622_hap1	chr2,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG02622_hap2	chr2,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG02630_hap1	chr2,chr7,chr9,chr10,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02630_hap2	chr2,chr7,chr9,chr10,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02647_hap1	chr1,chr2,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG02647_hap2	chr1,chr2,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG02666_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02666_hap2	chr2,chr7,chr9,chr10,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02668_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02668_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02698_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr5,chr7,chr9,chr10,chr16
HG02698_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr5,chr7,chr9,chr10,chr16
HG02717_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02717_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02723_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02723_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02735_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG02735_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02738_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG02738_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02769_hap1	chr1,chr2,chr9,chr10,chr17	chr1,chr2,chr4,chr9,chr10,chr17,chr20
HG02769_hap2	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr20
HG02809_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02809_hap2	chr2,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG02818_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02818_hap2	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17
HG02841_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02841_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02886_hap1	chr1,chr7,chr9,chr10,chr16	chr1,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02886_hap2	chr7,chr9,chr10,chr16	chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02922_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20,chrX
HG02922_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02953_hap1	chr2,chr7,chr9,chr10,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02953_hap2	chr2,chr7,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG02965_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02965_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02976_hap1	chr2,chr7,chr10,chr16	chr2,chr5,chr7,chr10,chr16,chr20
HG02976_hap2	chr1,chr2,chr7,chr10,chr16	chr1,chr2,chr5,chr7,chr10,chr16,chr20
HG02984_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02984_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr17,chr20
HG03009_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03009_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03017_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03017_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03041_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03041_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03050_hap1	chr1,chr7,chr9,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03050_hap2	chr1,chr7,chr9,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03065_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03065_hap2	chr1,chr2,chr7,chr10,chr17	chr1,chr2,chr3,chr5,chr7,chr10,chr17,chr20
HG03098_hap1	chr2,chr7,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG03098_hap2	chr7,chr9,chr10,chr16,chr17	chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03130_hap1	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr20
HG03130_hap2	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr4,chr5,chr7,chr9,chr10
HG03139_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03139_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03195_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17
HG03195_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03209_hap1	chr2,chr7,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG03209_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03225_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03225_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03239_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03239_hap2	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG03248_hap1	chr7,chr10,chr17	chr4,chr5,chr7,chr10,chr17,chr20
HG03248_hap2	chr7,chr9,chr10,chr17	chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG03270_hap1	chr1,chr2,chr7,chr10	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG03270_hap2	chr1,chr2,chr7,chr10,chr17	chr1,chr2,chr4,chr5,chr7,chr10,chr17,chr20
HG03369_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG03369_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG03371_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03371_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG03452_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG03452_hap2	chr1,chr9,chr10,chr16	chr1,chr5,chr9,chr10,chr16,chr20
HG03453_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr7,chr9,chr10,chr16,chr20
HG03453_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr4,chr5,chr7,chr9,chr10,chr20
HG03456_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03456_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03470_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03470_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03471_hap1	chr2,chr10,chr16,chr17	chr2,chr4,chr5,chr10,chr16,chr17,chr20
HG03471_hap2	chr2,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG03486_hap1	chr7,chr9,chr10,chr16	chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03486_hap2	chr1,chr7,chr9,chr10,chr16	chr1,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03516_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03516_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03520_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17
HG03520_hap2	chr1,chr9,chr10,chr16,chr17	chr1,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG03521_hap1	chr1,chr2,chr7,chr10,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG03521_hap2	chr1,chr2,chr7,chr10,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr17,chr20
HG03540_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17
HG03540_hap2	chr2,chr7,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr10,chr16,chr17
HG03579_hap1	chr2,chr7,chr9,chr10	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr20
HG03579_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03583_hap1	chr2,chr7,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03583_hap2	chr2,chr7,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG03654_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03654_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03669_hap1	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr20
HG03669_hap2	chr1,chr2,chr7,chr10	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr20
HG03683_hap1	chr1,chr9,chr10,chr16,chr17	chr1,chr3,chr4,chr9,chr10,chr16,chr17,chr20
HG03683_hap2	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG03688_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr20
HG03688_hap2	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr5,chr7,chr9,chr10,chr20
HG03704_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03704_hap2	chr2,chr7,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr10,chr16,chr17,chr20
HG03710_hap1	chr1,chr2,chr7,chr9,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr16,chr17,chr20
HG03710_hap2	chr1,chr2,chr7,chr9,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr16,chr17,chr20
HG03732_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03742_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03742_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03784_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr20
HG03784_hap2	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr10,chr16,chr17
HG03804_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03804_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03807_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03807_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03816_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03816_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03831_hap1	chr1,chr7,chr9,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03831_hap2	chr1,chr7,chr9,chr10	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr20
HG03834_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03834_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG03874_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG03874_hap2	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG03927_hap1	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr20
HG03927_hap2	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr20
HG03942_hap1	chr1,chr7,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr10,chr16
HG03942_hap2	chr1,chr7,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr10,chr16
HG04036_hap1	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr17,chr20
HG04036_hap2	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG04115_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr7,chr9,chr10,chr16,chr20
HG04115_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr7,chr9,chr10,chr16,chr20
HG04157_hap1	chr1,chr7,chr9,chr10,chr16	chr1,chr5,chr7,chr9,chr10,chr16,chr20
HG04157_hap2	chr1,chr7,chr9,chr10,chr16	chr1,chr3,chr5,chr7,chr9,chr10,chr16,chr20
HG04160_hap1	chr1,chr7,chr9,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG04160_hap2	chr1,chr7,chr9,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG04184_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG04184_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG04187_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG04187_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG04199_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG04199_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG04204_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG04204_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG04217_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG04217_hap2	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG04228_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG04228_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG06807_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG06807_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
NA12329_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
NA12329_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
NA18505_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
NA18505_hap2	chr2,chr7,chr10,chr16	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
NA18508_hap1	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10
NA18508_hap2	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr20
NA18522_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
